Fecha,Hora,Temperatura,Humedad,Lluvia,Luz,Viento
2025-05-20,15:52:26,27.4,56.0,Sin lluvia,Nublado,4
2025-05-20,15:52:31,27.3,56.0,Sin lluvia,Nublado,4
2025-05-20,15:52:36,27.3,56.0,Sin lluvia,Nublado,4
2025-05-20,15:52:41,27.3,56.0,Sin lluvia,Nublado,4
2025-05-20,15:52:46,27.3,56.0,Sin lluvia,Nublado,4
2025-05-20,15:52:51,27.3,56.0,Sin lluvia,Nublado,4
2025-05-20,15:52:56,27.3,56.0,Sin lluvia,Nublado,4
2025-05-20,15:53:01,27.2,56.0,Sin lluvia,Nublado,4
2025-05-20,15:53:06,27.2,56.0,Sin lluvia,Nublado,4
2025-05-20,15:53:11,27.2,56.0,Sin lluvia,Nublado,4
2025-05-20,15:53:16,27.1,56.0,Sin lluvia,Nublado,4
2025-05-20,15:53:21,27.1,57.0,Sin lluvia,Nublado,4
2025-05-20,15:53:26,27.1,57.0,Sin lluvia,Nublado,4
2025-05-20,15:53:31,27.1,57.0,Sin lluvia,Nublado,4
2025-05-20,15:53:36,27.1,57.0,Sin lluvia,Nublado,4
2025-05-20,15:53:41,27.1,57.0,Sin lluvia,Nublado,4
2025-05-20,15:53:46,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:53:51,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:53:56,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:54:01,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:54:06,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:54:11,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:54:16,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:54:21,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:54:26,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:54:32,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:54:37,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:54:42,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:54:47,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:54:52,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:54:57,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:55:02,27.0,58.0,Sin lluvia,Nublado,4
2025-05-20,15:55:07,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:55:12,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:55:17,26.9,57.0,Sin lluvia,Nublado,4
2025-05-20,15:55:22,27.0,57.0,Sin lluvia,Nublado,4
2025-05-20,15:55:27,26.9,58.0,Sin lluvia,Nublado,4
2025-05-20,15:55:32,26.9,57.0,Sin lluvia,Nublado,4
2025-05-20,15:55:37,26.9,57.0,Sin lluvia,Nublado,4
2025-05-20,15:55:42,26.9,58.0,Sin lluvia,Nublado,4
2025-05-20,15:55:47,26.9,58.0,Sin lluvia,Nublado,4
